Code,2014,2014Rank,2015,2015Rank,2016,2016Rank,2017,2017Rank,2018,2018Rank,2019,2019Rank,2020,2020Rank,2021,2021Rank,2022,2022Rank,2023,2023Rank
USA,229.0,1.0,229.0,1.0,224.0,1.0,225.0,1.0,213.0,1.0,218.0,1.0,223.0,1.0,219.0,1.0,214.0,1.0,211.0,1.0
CHN,84.0,2.0,83.0,2.0,90.0,2.0,97.0,2.0,108.0,2.0,114.0,2.0,126.0,2.0,134.0,2.0,145.0,2.0,152.0,2.0
JPN,74.0,3.0,74.0,3.0,74.0,3.0,71.0,3.0,56.0,5.0,49.0,6.0,45.0,7.0,41.0,7.0,37.0,7.0,34.0,7.0
GBR,64.0,4.0,65.0,4.0,65.0,4.0,65.0,4.0,62.0,3.0,63.0,3.0,63.0,3.0,63.0,3.0,63.0,3.0,63.0,3.0
DEU,55.0,5.0,55.0,5.0,56.0,5.0,57.0,5.0,54.0,6.0,55.0,5.0,53.0,4.0,52.0,4.0,52.0,4.0,52.0,4.0
FRA,50.0,6.0,49.0,6.0,48.0,6.0,44.0,7.0,58.0,4.0,58.0,4.0,46.0,6.0,43.0,6.0,41.0,6.0,43.0,6.0
ITA,47.0,7.0,47.0,7.0,48.0,7.0,48.0,6.0,45.0,7.0,47.0,7.0,48.0,5.0,48.0,5.0,48.0,5.0,48.0,5.0
ESP,41.0,8.0,40.0,8.0,41.0,8.0,40.0,8.0,38.0,8.0,35.0,8.0,36.0,8.0,35.0,8.0,34.0,8.0,34.0,7.0
KOR,34.0,9.0,36.0,9.0,36.0,9.0,36.0,9.0,35.0,9.0,35.0,8.0,34.0,9.0,33.0,9.0,33.0,9.0,33.0,9.0
CAN,32.0,10.0,33.0,10.0,32.0,10.0,32.0,10.0,28.0,10.0,27.0,10.0,28.0,10.0,28.0,10.0,28.0,10.0,28.0,10.0
AUS,27.0,11.0,27.0,11.0,27.0,11.0,27.0,11.0,25.0,11.0,26.0,11.0,26.0,11.0,26.0,11.0,26.0,11.0,27.0,11.0
TWN,25.0,12.0,21.0,12.0,21.0,12.0,20.0,12.0,17.0,14.0,14.0,14.0,13.0,15.0,13.0,15.0,12.0,16.0,12.0,16.0
BRA,18.0,13.0,18.0,13.0,17.0,13.0,18.0,13.0,20.0,12.0,21.0,12.0,21.0,12.0,22.0,12.0,23.0,12.0,22.0,12.0
IND,15.0,14.0,16.0,14.0,16.0,14.0,15.0,14.0,17.0,13.0,17.0,13.0,16.0,13.0,16.0,14.0,18.0,13.0,18.0,13.0
NLD,13.0,15.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,15.0
AUT,12.0,16.0,12.0,16.0,12.0,16.0,12.0,16.0,11.0,19.0,10.0,18.0,10.0,21.0,10.0,22.0,10.0,22.0,10.0,20.0
SWE,11.0,17.0,11.0,17.0,11.0,17.0,11.0,17.0,12.0,18.0,12.0,17.0,12.0,17.0,12.0,17.0,12.0,16.0,12.0,16.0
BEL,10.0,18.0,10.0,18.0,10.0,18.0,10.0,18.0,9.0,21.0,9.0,22.0,9.0,23.0,9.0,23.0,9.0,23.0,9.0,23.0
TUR,10.0,19.0,10.0,19.0,10.0,19.0,10.0,19.0,13.0,16.0,10.0,18.0,11.0,19.0,11.0,19.0,11.0,19.0,10.0,20.0
FIN,9.0,20.0,9.0,20.0,9.0,20.0,9.0,20.0,9.0,22.0,8.0,23.0,8.0,24.0,8.0,24.0,8.0,24.0,7.0,24.0
POL,9.0,21.0,9.0,21.0,9.0,21.0,7.0,26.0,10.0,20.0,13.0,15.0,10.0,21.0,11.0,19.0,11.0,19.0,10.0,20.0
CHE,9.0,22.0,9.0,22.0,9.0,22.0,9.0,21.0,9.0,23.0,10.0,18.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0
IRN,8.0,23.0,8.0,23.0,8.0,23.0,8.0,22.0,12.0,17.0,10.0,18.0,12.0,17.0,12.0,17.0,12.0,16.0,12.0,16.0
IRL,8.0,24.0,8.0,24.0,8.0,24.0,8.0,23.0,7.0,24.0,6.0,27.0,5.0,30.0,5.0,30.0,5.0,30.0,5.0,30.0
GRC,7.0,25.0,7.0,25.0,7.0,25.0,7.0,24.0,6.0,27.0,6.0,27.0,6.0,27.0,6.0,27.0,6.0,27.0,6.0,27.0
ISR,7.0,26.0,7.0,26.0,7.0,26.0,7.0,25.0,7.0,25.0,7.0,24.0,7.0,25.0,7.0,25.0,7.0,25.0,7.0,24.0
PRT,7.0,27.0,7.0,27.0,6.0,30.0,6.0,30.0,6.0,30.0,6.0,27.0,6.0,27.0,6.0,27.0,6.0,27.0,6.0,27.0
HKG,6.0,28.0,6.0,28.0,6.0,27.0,6.0,27.0,6.0,28.0,6.0,27.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0
HUN,6.0,29.0,6.0,29.0,6.0,28.0,6.0,28.0,6.0,29.0,5.0,33.0,5.0,30.0,5.0,30.0,5.0,30.0,5.0,30.0
NZL,6.0,30.0,6.0,30.0,6.0,29.0,6.0,29.0,5.0,34.0,6.0,27.0,5.0,30.0,5.0,30.0,5.0,30.0,5.0,30.0
CZE,5.0,31.0,5.0,31.0,4.0,36.0,4.0,36.0,5.0,31.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,35.0
DNK,5.0,32.0,5.0,32.0,5.0,31.0,5.0,32.0,5.0,32.0,5.0,33.0,5.0,30.0,5.0,30.0,5.0,30.0,5.0,30.0
NOR,5.0,33.0,5.0,33.0,5.0,32.0,5.0,33.0,5.0,35.0,6.0,27.0,6.0,27.0,6.0,27.0,6.0,27.0,6.0,27.0
ZAF,5.0,34.0,5.0,35.0,5.0,34.0,6.0,31.0,7.0,26.0,7.0,24.0,7.0,25.0,7.0,25.0,7.0,25.0,7.0,24.0
ARG,4.0,35.0,3.0,39.0,3.0,38.0,3.0,38.0,3.0,42.0,3.0,41.0,3.0,40.0,3.0,40.0,3.0,40.0,3.0,40.0
CHL,4.0,36.0,4.0,36.0,4.0,35.0,4.0,35.0,4.0,37.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,35.0
EGY,4.0,37.0,4.0,37.0,4.0,37.0,4.0,37.0,4.0,38.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,35.0
SAU,4.0,38.0,4.0,38.0,3.0,40.0,3.0,40.0,4.0,40.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,36.0,4.0,35.0
MYS,3.0,39.0,3.0,40.0,3.0,39.0,3.0,39.0,5.0,33.0,5.0,33.0,5.0,30.0,5.0,30.0,5.0,30.0,5.0,30.0
RUS,3.0,40.0,5.0,34.0,5.0,33.0,5.0,34.0,5.0,36.0,7.0,24.0,14.0,14.0,17.0,13.0,16.0,14.0,15.0,14.0
THA,3.0,41.0,3.0,41.0,3.0,41.0,3.0,41.0,4.0,41.0,3.0,41.0,3.0,40.0,3.0,40.0,3.0,40.0,3.0,40.0
COL,2.0,42.0,2.0,42.0,2.0,42.0,2.0,42.0,3.0,43.0,2.0,45.0,2.0,43.0,2.0,42.0,2.0,42.0,2.0,43.0
MEX,2.0,43.0,2.0,43.0,2.0,43.0,2.0,43.0,4.0,39.0,4.0,36.0,5.0,30.0,5.0,30.0,5.0,30.0,4.0,35.0
SGP,2.0,44.0,2.0,45.0,2.0,45.0,2.0,45.0,2.0,47.0,2.0,45.0,2.0,43.0,2.0,42.0,2.0,42.0,3.0,40.0
SVN,2.0,45.0,2.0,46.0,2.0,46.0,2.0,46.0,2.0,48.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
BGR,1.0,46.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,49.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
HRV,1.0,47.0,1.0,48.0,1.0,48.0,1.0,48.0,2.0,46.0,2.0,45.0,2.0,43.0,2.0,42.0,2.0,42.0,2.0,43.0
CYP,1.0,48.0,1.0,49.0,1.0,49.0,1.0,49.0,1.0,50.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
EST,1.0,49.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,51.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
ISL,1.0,50.0,1.0,51.0,1.0,51.0,1.0,51.0,1.0,52.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
LBN,1.0,51.0,1.0,52.0,1.0,52.0,1.0,52.0,1.0,53.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
LTU,1.0,52.0,1.0,53.0,1.0,53.0,1.0,53.0,1.0,54.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
PRI,1.0,53.0,1.0,54.0,1.0,55.0,1.0,56.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0
ROU,1.0,54.0,2.0,44.0,2.0,44.0,2.0,44.0,3.0,45.0,3.0,41.0,3.0,40.0,2.0,42.0,2.0,42.0,2.0,43.0
SRB,1.0,55.0,1.0,55.0,1.0,56.0,1.0,57.0,1.0,57.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
SVK,1.0,56.0,1.0,56.0,1.0,57.0,1.0,58.0,1.0,58.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
UGA,1.0,57.0,1.0,57.0,1.0,58.0,1.0,59.0,1.0,60.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
ARE,1.0,58.0,1.0,58.0,1.0,59.0,1.0,60.0,0.0,300.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
URY,1.0,59.0,1.0,59.0,1.0,60.0,1.0,61.0,1.0,61.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
PAK,0.0,300.0,0.0,300.0,1.0,54.0,1.0,55.0,3.0,44.0,3.0,41.0,2.0,43.0,2.0,42.0,2.0,42.0,2.0,43.0
MAC,0.0,300.0,0.0,300.0,0.0,300.0,1.0,54.0,1.0,55.0,1.0,48.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0
NGA,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,56.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0
TUN,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,59.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
BLR,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
LUX,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
ARM,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
GEO,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
MAR,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0
QAT,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0
ETH,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0
